Kartica,Kategorija,Naziv HR,Opis HR,Količina,Cijena,Sidrena cijena,Alergeni,Prikaži,Za van,Vino uz jelo,Naziv EN,Opis EN,Naziv DE,Opis DE,Naziv IT,Opis IT,Naziv FR,Opis FR,Naziv ES,Opis ES,Naziv PT,Opis PT,Naziv NL,Opis NL,Naziv PL,Opis PL,Naziv RU,Opis RU,Naziv HU,Opis HU,Naziv CS,Opis CS,Naziv SK,Opis SK,Naziv SL,Opis SL,Naziv UA,Opis UA,Naziv RO,Opis RO,Slika
Doručak,Smoothie i frappe 🥤,Smoothie kokos-mango,,"0,4 l","6,00","6,00",,DA,DA,,Coconut-mango smoothie,,Kokos-Mango-Smoothie,,Smoothie cocco-mango,,Smoothie coco-mangue,,Smoothie de coco y mango,,Smoothie de coco e manga,,Kokos-mangosmoothie,,Smoothie kokos-mango,,Смузи кокос-манго,,Kókusz-mangó smoothie,,Smoothie kokos-mango,,Smoothie kokos-mango,,Smoothie kokos-mango,,Смузі кокос-манго,,Smoothie cocos-mango,,
Doručak,Smoothie i frappe 🥤,Smoothie mango-marakuja,,"0,4 l","6,00","6,00",,DA,DA,,Mango-passion fruit smoothie,,Mango-Maracuja-Smoothie,,Smoothie mango-maracuja,,Smoothie mangue-passion,,Smoothie de mango y maracuyá,,Smoothie de manga e maracujá,,Mango-passievruchtsmoothie,,Smoothie mango-marakuja,,Смузи манго-маракуйя,,Mangó-maracuja smoothie,,Smoothie mango-maracuja,,Smoothie mango-marakuja,,Smoothie mango-marakuja,,Смузі манго-маракуя,,Smoothie mango-fructul pasiunii,,
Doručak,Smoothie i frappe 🥤,Frappe čokolada-višnja,,"0,4 l","6,00","6,00",,DA,DA,,Chocolate-cherry frappé,,Frappé Schoko-Kirsche,,Frappè cioccolato e ciliegia,,Frappé chocolat-cerise,,Frappé de chocolate y cereza,,Frappé de chocolate e cereja,,Frappé chocolade-kers,,Frappe czekolada-wiśnia,,Фраппе шоколад-вишня,,Csokoládés-meggyes frappé,,Frappé čokoláda-višeň,,Frappé čokoláda-višňa,,Frappe čokolada-višnja,,Фрапе шоколад-вишня,,Frappé ciocolată-vișine,,
Doručak,Smoothie i frappe 🥤,Frappe breskva-jogurt,,"0,4 l","6,00","6,00",,DA,DA,,Peach-yogurt frappé,,Frappé Pfirsich-Joghurt,,Frappè pesca e yogurt,,Frappé pêche-yaourt,,Frappé de melocotón y yogur,,Frappé de pêssego e iogurte,,Frappé perzik-yoghurt,,Frappe brzoskwinia-jogurt,,Фраппе персик-йогурт,,Barackos-joghurtos frappé,,Frappé broskev-jogurt,,Frappé broskyňa-jogurt,,Frappe breskev-jogurt,,Фрапе персик-йогурт,,Frappé piersică-iaurt,,
Doručak,Smoothie i frappe 🥤,Frappe jagoda-vanilija,,"0,4 l","6,00","6,00",,DA,DA,,Strawberry-vanilla frappé,,Frappé Erdbeer-Vanille,,Frappè fragola e vaniglia,,Frappé fraise-vanille,,Frappé de fresa y vainilla,,Frappé de morango e baunilha,,Frappé aardbei-vanille,,Frappe truskawka-wanilia,,Фраппе клубника-ваниль,,Epres-vaníliás frappé,,Frappé jahoda-vanilka,,Frappé jahoda-vanilka,,Frappe jagoda-vanilija,,Фрапе полуниця-ваніль,,Frappé căpșuni-vanilie,,
Pića,Aperitivi 🥂,Aperol Spritz (bez alkohola),,"0,4 L","7,00","7,00",,DA,DA,,Aperol Spritz (non-alcoholic),,Aperol Spritz (alkoholfrei),,Aperol Spritz (analcolico),,Aperol Spritz (sans alcool),,Aperol Spritz (sin alcohol),,Aperol Spritz (sem álcool),,Aperol Spritz (alcoholvrij),,Aperol Spritz (bezalkoholowy),,Апероль Шприц (безалкогольный),,Aperol Spritz (alkoholmentes),,Aperol Spritz (nealkoholický),,Aperol Spritz (nealkoholický),,Aperol Spritz (brezalkoholni),,Апероль Шприц (безалкогольний),,Aperol Spritz (fără alcool),,
Pića,Aperitivi 🥂,Aperol Spritz,,"0,4 L","8,00","8,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Aperitivi 🥂,HUGO Spritz,,"0,4 L","8,00","8,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Aperitivi 🥂,Campari Spritz,,"0,4 L","8,00","8,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Aperitivi 🥂,Strawberry Spritz,,"0,4 L","8,00","8,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Aperitivi 🥂,Teranino Spritz,,"0,4 L","8,00","8,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Aperitivi 🥂,Belini,,"0,25 L","8,50","8,50",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Aperitivi 🥂,Mimosa,,"0,25 L","8,50","8,50",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Gin & Tonic 🍋,Deveron GT,"Brokers gin, premium tonic, garden herbs","0,4 L","11,00","11,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Gin & Tonic 🍋,Augusta GT,"Brokers gin, premium tonic, blueberries, mint","0,4 L","11,00","11,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Gin & Tonic 🍋,Monte Baston GT,"Brokers gin, premium tonic, thyme, lime peel","0,4 L","10,00","10,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Gin & Tonic 🍋,Golden Bay GT,"Citadelle gin, strawberry syrup, lime peel","0,4 L","12,00","12,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Gin & Tonic 🍋,Pink Panter GT,"Hendricks gin, watermelon syrup, cloves","0,4 L","12,00","12,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Gin & Tonic 🍋,Old School Hendricks GT,"Hendricks gin, lemongrass, cucumbers","0,4 L","12,00","12,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kokteli 🍹,Pina Colada,"coconut cream, pineapple juice, white rum","0,33 L","9,00","9,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kokteli 🍹,Blue Hawaii,"banana liqueur, blue curaçao, orange juice","0,33 L","8,00","8,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kokteli 🍹,Mai Tai,"dark rum, white rum, pineapple juice","0,33 L","10,00","10,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kokteli 🍹,Mojito,"white rum, brown sugar, fresh mint, soda","0,33 L","8,00","8,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kokteli 🍹,Caipirinha,"cachaça, brown sugar, fresh lime","0,25 L","8,00","8,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kokteli 🍹,Daiquiri,"rum, lime juice, sugar","0,15 L","9,00","9,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kokteli 🍹,Long Lošinj Ice Tea,"vodka, gin, rum, tequila, lemon juice, cola","0,33 L","10,00","10,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kokteli 🍹,Blue Lošinj,"vodka, pineapple juice, blue curaçao","0,33 L","9,00","9,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kokteli 🍹,"""Lošinj"" Mule","vodka, lime juice, ginger beer","0,25 L","9,00","9,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kokteli 🍹,Negroni,"gin, campari, vermouth","0,25 L","9,00","9,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kokteli 🍹,Tom Collins,"gin, sugar, lime juice, soda","0,33 L","9,00","9,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Žestoka pića 🥃,Brookers / Citadelle / Hendricks Gin,,"0,03 L","4,00–6,00","4,00–6,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Žestoka pića 🥃,Beluga / Grey Goose / Belvedere,,"0,03 L","6,00","6,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Žestoka pića 🥃,Jack Daniel's / Jameson / Chivas 12,,"0,03 L","6,00","6,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Žestoka pića 🥃,Glenfiddich 12 / 15,,"0,03 L","7,00–8,00","7,00–8,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Žestoka pića 🥃,Rum Plantation XO / Millonario XO,,"0,03 L","8,00–12,00","8,00–12,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Žestoka pića 🥃,El Mayor Tequila Anejo,,"0,03 L","7,00","7,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Domaći likeri 🌿,Lozovača / Travarica,,"0,03 L","3,00","3,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Domaći likeri 🌿,Šljivovica / Medica / Biska,,"0,03 L","3,00–4,00","3,00–4,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Domaći likeri 🌿,Smokvica / Teranino / Orahovac,,"0,03 L","3,00–4,00","3,00–4,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Domaći likeri 🌿,Pelinkovac Antique / Istra Bitter,,"0,03 L","3,00–4,00","3,00–4,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Pivo 🍺,Točeno pivo — žirafa,,"3,00 L","28,00","28,00",,DA,DA,,Draught beer — beer tower,,Fassbier — Bierturm,,Birra alla spina — giraffa,,Bière pression — girafe,,Cerveza de barril — jirafa,,Cerveja de pressão — girafa,,Tapbier — biertoren,,Piwo z beczki — wieża,,Разливное пиво — пивная башня,,Csapolt sör — sörtorony,,Točené pivo — pivní věž,,Čapované pivo — pivná veža,,Točeno pivo — žirafa,,Розливне пиво — пивна вежа,,Bere la halbă — turn de bere,,
Pića,Pivo 🍺,Točeno pivo,,"0,50 L","4,70","4,70",,DA,DA,,Draught beer,,Fassbier,,Birra alla spina,,Bière pression,,Cerveza de barril,,Cerveja de pressão,,Tapbier,,Piwo z beczki,,Разливное пиво,,Csapolt sör,,Točené pivo,,Čapované pivo,,Točeno pivo,,Розливне пиво,,Bere la halbă,,
Pića,Pivo 🍺,Stella / Heineken / Corona,,"0,33 L","4,00–5,00","4,00–5,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Pivo 🍺,Leffe Blonde / Brune,,"0,33 L","5,00","5,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Pivo 🍺,Franziskaner / Grif Pale Ale,,"0,50 L","6,00","6,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Pivo 🍺,Cider jabuka / malina,,"0,33 L","4,00","4,00",,DA,DA,,Cider apple / raspberry,,Cider Apfel / Himbeere,,Sidro mela / lampone,,Cidre pomme / framboise,,Sidra manzana / frambuesa,,Sidra maçã / framboesa,,Cider appel / framboos,,Cydr jabłkowy / malinowy,,Сидр яблочный / малиновый,,Cider alma / málna,,Cider jablko / malina,,Cider jablko / malina,,Jabolčnik jabolko / malina,,Сидр яблучний / малиновий,,Cidru mere / zmeură,,
Pića,Pivo 🍺,"Ožujsko Cool 0,0%",,"0,50 L","4,00","4,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Bezalkoholna pića 🥤,Coca Cola / Zero / Sprite / Fanta,,"0,25 L","4,00","4,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Bezalkoholna pića 🥤,Tonic Water Schweppes / Imperdibile,,"0,25 L","4,00","4,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Bezalkoholna pića 🥤,Fevertree Ginger Beer,,"0,25 L","5,00","5,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Bezalkoholna pića 🥤,Red Bull,,"0,33 L","7,00","7,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Bezalkoholna pića 🥤,Voda Jana,,"0,33–0,75 L","3,00–6,00","3,00–6,00",,DA,DA,,Jana water,,Jana Wasser,,Acqua Jana,,Eau Jana,,Agua Jana,,Água Jana,,Jana water,,Woda Jana,,Вода Jana,,Jana víz,,Voda Jana,,Voda Jana,,Voda Jana,,Вода Jana,,Apă Jana,,
Pića,Bezalkoholna pića 🥤,Limunada / s jagodom / mangom / breskvom,,"0,4 L","4,00–7,00","4,00–7,00",,DA,DA,,Lemonade / strawberry / mango / peach,,Limonade / Erdbeere / Mango / Pfirsich,,Limonata / fragola / mango / pesca,,Citronnade / fraise / mangue / pêche,,Limonada / fresa / mango / melocotón,,Limonada / morango / manga / pêssego,,Limonade / aardbei / mango / perzik,,Lemoniada / truskawka / mango / brzoskwinia,,Лимонад / клубника / манго / персик,,Limonádé / eper / mangó / barack,,Limonáda / jahoda / mango / broskev,,Limonáda / jahoda / mango / broskyňa,,Limonada / jagoda / mango / breskev,,Лимонад / полуниця / манго / персик,,Limonadă / căpșuni / mango / piersici,,
Pića,Bezalkoholna pića 🥤,Smoothie jagoda / kokos-mango / mango-marakuja,,"0,4 L","6,00","6,00",,DA,DA,,Smoothie strawberry / coconut-mango / mango-passion fruit,,Smoothie Erdbeere / Kokos-Mango / Mango-Maracuja,,Smoothie fragola / cocco-mango / mango-maracuja,,Smoothie fraise / coco-mangue / mangue-passion,,Smoothie fresa / coco-mango / mango-maracuyá,,Smoothie morango / coco-manga / manga-maracujá,,Smoothie aardbei / kokos-mango / mango-passievrucht,,Smoothie truskawka / kokos-mango / mango-marakuja,,Смузи клубника / кокос-манго / манго-маракуйя,,Smoothie eper / kókusz-mangó / mangó-maracuja,,Smoothie jahoda / kokos-mango / mango-maracuja,,Smoothie jahoda / kokos-mango / mango-marakuja,,Smoothie jagoda / kokos-mango / mango-marakuja,,Смузі полуниця / кокос-манго / манго-маракуя,,Smoothie căpșuni / cocos-mango / mango-fructul pasiunii,,
Pića,Kava i topli napitci ☕,Espresso,,šalica,"2,50","2,50",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kava i topli napitci ☕,Macchiato / Cappucino / Latte Macchiato,,šalica,"3,00–5,00","3,00–5,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kava i topli napitci ☕,Bijela kava / Caffe latte,,šalica,"4,00","4,00",,DA,DA,,Coffee with milk / Caffe latte,,Milchkaffee / Caffe Latte,,Caffè con latte / Caffè latte,,Café au lait / Caffe latte,,Café con leche / Caffe latte,,Café com leite / Caffe latte,,Koffie verkeerd / Caffe latte,,Kawa z mlekiem / Caffe latte,,Кофе с молоком / Латте,,Tejeskávé / Caffe latte,,Bílá káva / Caffe latte,,Biela káva / Caffe latte,,Bela kava / Caffe latte,,Кава з молоком / Лате,,Cafea cu lapte / Caffe latte,,
Pića,Kava i topli napitci ☕,Irish Coffee,,šalica,"8,00","8,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kava i topli napitci ☕,Ice Coffee,,šalica,"6,00","6,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pića,Kava i topli napitci ☕,Čaj / Kakao,,šalica,"2,50","2,50",,DA,DA,,Tea / Hot chocolate,,Tee / Kakao,,Tè / Cioccolata calda,,Thé / Chocolat chaud,,Té / Chocolate caliente,,Chá / Chocolate quente,,Thee / Warme chocolademelk,,Herbata / Kakao,,Чай / Какао,,Tea / Kakaó,,Čaj / Kakao,,Čaj / Kakao,,Čaj / Kakav,,Чай / Какао,,Ceai / Cacao,,
Vino,Bijela vina 🥂,Chard Deklić,,,"29,50","29,50",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Bijela vina 🥂,Chard Apolitico,,,"28,00","28,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Bijela vina 🥂,Matuško Grk,,,"43,50","43,50",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Bijela vina 🥂,Maestoso Sur Lie,,,"40,00","40,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Bijela vina 🥂,Sauvignon Blanc,,,"30,00","30,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Bijela vina 🥂,Malvazija Bastijan,,,"33,00","33,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Bijela vina 🥂,Malvazija Deklić,,,"29,50","29,50",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Bijela vina 🥂,Malvazija Kozlović,,,"43,00","43,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Bijela vina 🥂,Pošip Nerica,,,"43,00","43,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Bijela vina 🥂,Kolarić Pinot Sivi,,,"33,00","33,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Crna vina 🍷,Teran Deklić,,,"36,00","36,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Crna vina 🍷,Cabernet Korlat,,,"41,00","41,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Crna vina 🍷,Merlot / Syrah Korlat,,,"41,00","41,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Crna vina 🍷,Crljenak Kaštelanski,,,"46,50","46,50",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Crna vina 🍷,Čaruga Apolitico,,,"34,00","34,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Crna vina 🍷,Komadina Sansigot,,,"28,00","28,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Crna vina 🍷,Essenca Matela Crljenak,,,"82,00","82,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Rosé i prosecco 🌸,Deklić Rosé,,,"28,00","28,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Rosé i prosecco 🌸,Apolitico Rosé,,,"28,00","28,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Rosé i prosecco 🌸,Prosecco Ripe — čaša,,,"6,00","6,00",,DA,DA,,Prosecco Ripe — glass,,Prosecco Ripe — Glas,,Prosecco Ripe — calice,,Prosecco Ripe — verre,,Prosecco Ripe — copa,,Prosecco Ripe — copo,,Prosecco Ripe — glas,,Prosecco Ripe — kieliszek,,Просекко Ripe — бокал,,Prosecco Ripe — pohár,,Prosecco Ripe — sklenka,,Prosecco Ripe — pohár,,Prosecco Ripe — kozarec,,Просеко Ripe — келих,,Prosecco Ripe — pahar,,
Vino,Rosé i prosecco 🌸,"Prosecco Ripe 0,75 L",,,"28,00","28,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Šampanjac 🥇,Dom Perignon,,,"510,00","510,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Šampanjac 🥇,Moët & Chandon Brut,,,"120,00","120,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Šampanjac 🥇,Veuve Clicquot Brut,,,"130,00","130,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vino,Šampanjac 🥇,Grazia Deklić,,,"68,00","68,00",,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deserti,,Palačinke s Nutellom,,,"6,50","6,50",,DA,DA,,Pancakes with Nutella,,Palatschinken mit Nutella,,Crêpes alla Nutella,,Crêpes au Nutella,,Crepes de Nutella,,Crepes com Nutella,,Pannenkoekjes met Nutella,,Naleśniki z Nutellą,,Блинчики с Nutella,,Palacsinta Nutellával,,Palačinky s Nutellou,,Palacinky s Nutellou,,Palačinke z Nutello,,Млинці з Nutella,,Clătite cu Nutella,,
Deserti,,Palačinke s čokoladom / marmeladom,,,"6,00","6,00",,DA,DA,,Pancakes with chocolate / jam,,Palatschinken mit Schokolade / Marmelade,,Crêpes al cioccolato / alla marmellata,,Crêpes au chocolat / à la confiture,,Crepes de chocolate / mermelada,,Crepes com chocolate / compota,,Pannenkoekjes met chocolade / jam,,Naleśniki z czekoladą / dżemem,,Блинчики с шоколадом / джемом,,Palacsinta csokoládéval / lekvárral,,Palačinky s čokoládou / marmeládou,,Palacinky s čokoládou / džemom,,Palačinke s čokolado / marmelado,,Млинці з шоколадом / джемом,,Clătite cu ciocolată / gem,,
Deserti,,Palačinke sa sladoledom,,,"7,00","7,00",,DA,DA,,Pancakes with ice cream,,Palatschinken mit Eis,,Crêpes con gelato,,Crêpes à la glace,,Crepes con helado,,Crepes com gelado,,Pannenkoekjes met ijs,,Naleśniki z lodami,,Блинчики с мороженым,,Palacsinta fagylalttal,,Palačinky se zmrzlinou,,Palacinky so zmrzlinou,,Palačinke s sladoledom,,Млинці з морозивом,,Clătite cu înghețată,,
Deserti,,Panna cotta,,,"5,00","5,00",,DA,DA,,Panna cotta,,Panna cotta,,Panna cotta,,Panna cotta,,Panna cotta,,Panna cotta,,Panna cotta,,Panna cotta,,Панна-котта,,Panna cotta,,Panna cotta,,Panna cotta,,Panna cotta,,Панна-кота,,Panna cotta,,
Deserti,,Sorbet,,,"6,50","6,50",,DA,DA,,Sorbet,,Sorbet,,Sorbetto,,Sorbet,,Sorbete,,Sorvete,,Sorbet,,Sorbet,,Сорбет,,Sorbet,,Sorbet,,Sorbet,,Sorbet,,Сорбет,,Sorbet,,
Deserti,,Čokoladni soufflé,,,"7,00","7,00",,DA,DA,,Chocolate soufflé,,Schokoladensoufflé,,Soufflé al cioccolato,,Soufflé au chocolat,,Soufflé de chocolate,,Soufflé de chocolate,,Chocoladesoufflé,,Suflet czekoladowy,,Шоколадное суфле,,Csokoládés szuflé,,Čokoládové suflé,,Čokoládové suflé,,Čokoladni sufle,,Шоколадне суфле,,Sufleu de ciocolată,,
Deserti,,Soufflé od pistacija,,,"7,00","7,00",,DA,DA,,Pistachio soufflé,,Pistaziensoufflé,,Soufflé al pistacchio,,Soufflé à la pistache,,Soufflé de pistacho,,Soufflé de pistácio,,Pistachesoufflé,,Suflet pistacjowy,,Фисташковое суфле,,Pisztáciás szuflé,,Pistáciové suflé,,Pistáciové suflé,,Sufle s pistacijo,,Фісташкове суфле,,Sufleu de fistic,,
Deserti,,Soufflé od bijele čokolade,,,"7,00","7,00",,DA,DA,,White chocolate soufflé,,Soufflé mit weißer Schokolade,,Soufflé al cioccolato bianco,,Soufflé au chocolat blanc,,Soufflé de chocolate blanco,,Soufflé de chocolate branco,,Witte-chocoladesoufflé,,Suflet z białej czekolady,,Суфле из белого шоколада,,Fehércsokoládés szuflé,,Suflé z bílé čokolády,,Suflé z bielej čokolády,,Sufle iz bele čokolade,,Суфле з білого шоколаду,,Sufleu de ciocolată albă,,
Deserti,,Tart od limuna,,,"6,50","6,50",,DA,DA,,Lemon tart,,Zitronentarte,,Crostata al limone,,Tarte au citron,,Tarta de limón,,Tarte de limão,,Citroentaart,,Tarta cytrynowa,,Лимонный тарт,,Citromtorta,,Citronový koláč,,Citrónový koláč,,Limonina pita,,Лимонний тарт,,Tartă cu lămâie,,
Deserti,,Slatki ravioli s jabukom,,,"6,50","6,50",,DA,DA,,Sweet apple ravioli,,Süße Apfel-Ravioli,,Ravioli dolci alla mela,,Raviolis sucrés aux pommes,,Raviolis dulces de manzana,,Ravioli doces de maçã,,Zoete appelravioli,,Słodkie ravioli z jabłkiem,,Сладкие равиоли с яблоком,,Édes almás ravioli,,Sladké jablečné ravioli,,Sladké jablkové ravioli,,Sladki jabolčni ravioli,,Солодкі равіолі з яблуком,,Ravioli dulci cu mere,,
